Time,root.test.d6.s1,root.test.d6.s2
2020-01-01T00:00:02.000+08:00,100.0,100.0
2020-01-01T00:00:03.000+08:00,101.0,101.0
2020-01-01T00:00:04.000+08:00,102.0,102.0
2020-01-01T00:00:06.000+08:00,104.0,104.0
2020-01-01T00:00:08.000+08:00,126.0,106.0
2020-01-01T00:00:10.000+08:00,108.0,108.0
2020-01-01T00:00:14.000+08:00,112.0,112.0
2020-01-01T00:00:15.000+08:00,113.0,113.0
2020-01-01T00:00:16.000+08:00,114.0,114.0
2020-01-01T00:00:18.000+08:00,116.0,116.0
2020-01-01T00:00:20.000+08:00,118.0,118.0
2020-01-01T00:00:22.000+08:00,120.0,120.0
2020-01-01T00:00:26.000+08:00,124.0,124.0
2020-01-01T00:00:28.000+08:00,126.0,126.0
2020-01-01T00:00:30.000+08:00,  NaN,126.0
2020-01-01T00:00:32.000+08:00,130.0,130.0
2020-01-01T00:00:34.000+08:00,132.0,132.0
2020-01-01T00:00:36.000+08:00,134.0,134.0
2020-01-01T00:00:38.000+08:00,136.0,136.0
2020-01-01T00:00:40.000+08:00,138.0,138.0
2020-01-01T00:00:42.000+08:00,140.0,140.0
2020-01-01T00:00:44.000+08:00,142.0,142.0
2020-01-01T00:00:46.000+08:00,144.0,144.0
2020-01-01T00:00:48.000+08:00,146.0,146.0
2020-01-01T00:00:50.000+08:00,148.0,148.0
2020-01-01T00:00:52.000+08:00,150.0,150.0
2020-01-01T00:00:54.000+08:00,152.0,152.0
2020-01-01T00:00:56.000+08:00,154.0,154.0
2020-01-01T00:00:58.000+08:00,156.0,156.0
2020-01-01T00:01:00.000+08:00,158.0,158.0
