Time,root.test.d5.s1,root.test.d5.s2,root.test.d5.s3
2021-06-10 14:54:41,443,575.9,1018.9
2021-06-10 14:54:43,440,572.0,1012.0
2021-06-10 14:54:45,440,572.0,1012.0
2021-06-10 14:54:47,440,572.0,1012.0
2021-06-10 14:54:49,440,572.0,1012.0
2021-06-10 14:54:52,440,572.0,1012.0
2021-06-10 14:54:54,440,572.0,1012.0
2021-06-10 14:54:56,439,570.7,1009.7
2021-06-10 14:54:58,439,570.7,1009.7
2021-06-10 14:55:00,442,574.6,1016.6
2021-06-10 14:55:03,442,574.6,1016.6
2021-06-10 14:55:05,442,574.6,1016.6
2021-06-10 14:55:07,435,565.5,1000.5
2021-06-10 14:55:09,435,565.5,1000.5
2021-06-10 14:55:11,435,565.5,1000.5
2021-06-10 14:55:14,437,568.1,1005.1
2021-06-10 14:55:16,437,568.1,1005.1
2021-06-10 14:55:18,437,568.1,1005.1
2021-06-10 14:55:20,446,579.8,1025.8
2021-06-10 14:55:23,446,579.8,1025.8
2021-06-10 14:55:25,446,579.8,1025.8
2021-06-10 14:55:27,442,574.6,1016.6
2021-06-10 14:55:29,442,574.6,1016.6
2021-06-10 14:55:31,449,583.7,1032.7
2021-06-10 14:55:34,449,583.7,1032.7
2021-06-10 14:55:36,449,583.7,1032.7
2021-06-10 14:55:38,439,570.7,1009.7
2021-06-10 14:55:40,439,570.7,1009.7
2021-06-10 14:55:42,439,570.7,1009.7
2021-06-10 14:55:45,440,572.0,1012.0
2021-06-10 14:55:47,440,572.0,1012.0
2021-06-10 14:55:49,440,572.0,1012.0
2021-06-10 14:55:51,441,573.3,1014.3
2021-06-10 14:55:53,441,573.3,1014.3
2021-06-10 14:55:56,448,582.4,1030.4
2021-06-10 14:55:58,448,582.4,1030.4
2021-06-10 14:56:00,448,582.4,1030.4
2021-06-10 14:56:02,436,566.8,1002.8
2021-06-10 14:56:05,436,566.8,1002.8
2021-06-10 14:56:07,436,566.8,1002.8
2021-06-10 14:56:09,440,572.0,1012.0
2021-06-10 14:56:11,440,572.0,1012.0
2021-06-10 14:56:13,440,572.0,1012.0
2021-06-10 14:56:16,431,560.3,991.3
2021-06-10 14:56:18,431,560.3,991.3
2021-06-10 14:56:20,431,560.3,991.3
2021-06-10 14:56:22,436,566.8,1002.8
2021-06-10 14:56:24,436,566.8,1002.8
2021-06-10 14:56:27,442,574.6,1016.6
2021-06-10 14:56:29,442,574.6,1016.6
2021-06-10 14:56:31,442,574.6,1016.6
2021-06-10 14:56:33,442,574.6,1016.6
2021-06-10 14:56:36,442,574.6,1016.6
2021-06-10 14:56:38,442,574.6,1016.6
2021-06-10 14:56:40,446,579.8,1025.8
2021-06-10 14:56:42,446,579.8,1025.8
2021-06-10 14:56:44,446,579.8,1025.8
2021-06-10 14:56:47,434,564.2,998.2
2021-06-10 14:56:49,434,564.2,998.2
2021-06-10 14:56:51,441,573.3,1014.3
2021-06-10 14:56:53,441,573.3,1014.3
2021-06-10 14:56:55,441,573.3,1014.3
2021-06-10 14:56:58,444,577.2,1021.2
2021-06-10 14:57:00,444,577.2,1021.2
2021-06-10 14:57:02,444,577.2,1021.2
2021-06-10 14:57:04,439,570.7,1009.7
2021-06-10 14:57:07,439,570.7,1009.7
2021-06-10 14:57:09,439,570.7,1009.7
2021-06-10 14:57:11,444,577.2,1021.2
2021-06-10 14:57:13,444,577.2,1021.2
2021-06-10 14:57:15,444,577.2,1021.2
2021-06-10 14:57:18,442,574.6,1016.6
2021-06-10 14:57:20,442,574.6,1016.6
2021-06-10 14:57:22,427,555.1,982.1
2021-06-10 14:57:24,427,555.1,982.1
2021-06-10 14:57:26,427,555.1,982.1
2021-06-10 14:57:29,436,566.8,1002.8
2021-06-10 14:57:31,436,566.8,1002.8
2021-06-10 14:57:33,436,566.8,1002.8
2021-06-10 14:57:35,439,570.7,1009.7
2021-06-10 14:57:37,439,570.7,1009.7
2021-06-10 14:57:40,439,570.7,1009.7
2021-06-10 14:57:42,443,575.9,1018.9
2021-06-10 14:57:44,443,575.9,1018.9
2021-06-10 14:57:46,443,575.9,1018.9
2021-06-10 14:57:49,427,555.1,982.1
2021-06-10 14:57:51,427,555.1,982.1
2021-06-10 14:57:53,436,566.8,1002.8
2021-06-10 14:57:55,436,566.8,1002.8
2021-06-10 14:57:57,436,566.8,1002.8
2021-06-10 14:58:00,439,570.7,1009.7
2021-06-10 14:58:02,439,570.7,1009.7
2021-06-10 14:58:04,439,570.7,1009.7
2021-06-10 14:58:06,442,574.6,1016.6
2021-06-10 14:58:08,442,574.6,1016.6
2021-06-10 14:58:11,442,574.6,1016.6
2021-06-10 14:58:13,439,570.7,1009.7
2021-06-10 14:58:15,439,570.7,1009.7
2021-06-10 14:58:17,456,592.8,1048.8
2021-06-10 14:58:19,456,592.8,1048.8
2021-06-10 14:58:22,456,592.8,1048.8
2021-06-10 14:58:24,436,566.8,1002.8
2021-06-10 14:58:26,436,566.8,1002.8
2021-06-10 14:58:28,436,566.8,1002.8
2021-06-10 14:58:31,460,598.0,1058.0
2021-06-10 14:58:33,460,598.0,1058.0
2021-06-10 14:58:35,460,598.0,1058.0
2021-06-10 14:58:37,458,595.4,1053.4
2021-06-10 14:58:39,458,595.4,1053.4
2021-06-10 14:58:42,458,595.4,1053.4
2021-06-10 14:58:44,461,599.3,1060.3
2021-06-10 14:58:46,461,599.3,1060.3
2021-06-10 14:58:48,444,577.2,1021.2
2021-06-10 14:58:51,444,577.2,1021.2
2021-06-10 14:58:53,444,577.2,1021.2
2021-06-10 14:58:55,446,579.8,1025.8
2021-06-10 14:58:57,446,579.8,1025.8
2021-06-10 14:58:59,446,579.8,1025.8
2021-06-10 14:59:02,483,627.9,1110.9
2021-06-10 14:59:04,483,627.9,1110.9
2021-06-10 14:59:06,483,627.9,1110.9
2021-06-10 14:59:08,499,648.7,1147.7
2021-06-10 14:59:10,499,648.7,1147.7
2021-06-10 14:59:13,451,586.3,1037.3
2021-06-10 14:59:15,451,586.3,1037.3
2021-06-10 14:59:17,451,586.3,1037.3
2021-06-10 14:59:19,450,585.0,1035.0
2021-06-10 14:59:21,450,585.0,1035.0
2021-06-10 14:59:24,450,585.0,1035.0
2021-06-10 14:59:26,440,572.0,1012.0
2021-06-10 14:59:28,440,572.0,1012.0
2021-06-10 14:59:30,440,572.0,1012.0
2021-06-10 14:59:32,450,585.0,1035.0
2021-06-10 14:59:35,450,585.0,1035.0
2021-06-10 14:59:37,450,585.0,1035.0
2021-06-10 14:59:39,451,586.3,1037.3
2021-06-10 14:59:41,451,586.3,1037.3
2021-06-10 14:59:44,436,566.8,1002.8
2021-06-10 14:59:46,436,566.8,1002.8
2021-06-10 14:59:48,436,566.8,1002.8
2021-06-10 14:59:50,442,574.6,1016.6
2021-06-10 14:59:52,442,574.6,1016.6
2021-06-10 14:59:55,442,574.6,1016.6
2021-06-10 14:59:57,434,564.2,998.2
2021-06-10 14:59:59,434,564.2,998.2
2021-06-10 15:00:01,434,564.2,998.2
2021-06-10 15:00:03,443,575.9,1018.9
2021-06-10 15:00:06,443,575.9,1018.9
2021-06-10 15:00:08,443,575.9,1018.9
2021-06-10 15:00:10,443,575.9,1018.9
2021-06-10 15:00:12,443,575.9,1018.9
2021-06-10 15:00:14,439,570.7,1009.7
2021-06-10 15:00:17,439,570.7,1009.7
2021-06-10 15:00:19,439,570.7,1009.7
2021-06-10 15:00:21,434,564.2,998.2
2021-06-10 15:00:23,434,564.2,998.2
2021-06-10 15:00:25,434,564.2,998.2
2021-06-10 15:00:28,437,568.1,1005.1
2021-06-10 15:00:30,437,568.1,1005.1
2021-06-10 15:00:32,437,568.1,1005.1
2021-06-10 15:00:34,447,581.1,1028.1
2021-06-10 15:00:37,447,581.1,1028.1
2021-06-10 15:00:39,447,581.1,1028.1
2021-06-10 15:00:41,435,565.5,1000.5
2021-06-10 15:00:43,435,565.5,1000.5
2021-06-10 15:00:45,422,548.6,970.6
2021-06-10 15:00:48,422,548.6,970.6
2021-06-10 15:00:50,422,548.6,970.6
2021-06-10 15:00:52,441,573.3,1014.3
2021-06-10 15:00:54,441,573.3,1014.3
2021-06-10 15:00:57,441,573.3,1014.3
2021-06-10 15:00:59,442,574.6,1016.6
2021-06-10 15:01:01,442,574.6,1016.6
2021-06-10 15:01:03,442,574.6,1016.6
2021-06-10 15:01:05,443,575.9,1018.9
2021-06-10 15:01:08,443,575.9,1018.9
2021-06-10 15:01:10,431,560.3,991.3
2021-06-10 15:01:12,431,560.3,991.3
2021-06-10 15:01:14,431,560.3,991.3
2021-06-10 15:01:16,440,572.0,1012.0
2021-06-10 15:01:19,440,572.0,1012.0
2021-06-10 15:01:21,440,572.0,1012.0
2021-06-10 15:01:23,436,566.8,1002.8
2021-06-10 15:01:25,436,566.8,1002.8
2021-06-10 15:01:27,436,566.8,1002.8
2021-06-10 15:01:30,439,570.7,1009.7
2021-06-10 15:01:32,439,570.7,1009.7
2021-06-10 15:01:34,439,570.7,1009.7
2021-06-10 15:01:36,439,570.7,1009.7
2021-06-10 15:01:38,439,570.7,1009.7
2021-06-10 15:01:41,442,574.6,1016.6
2021-06-10 15:01:43,442,574.6,1016.6
2021-06-10 15:01:45,442,574.6,1016.6
2021-06-10 15:01:47,435,565.5,1000.5
2021-06-10 15:01:50,435,565.5,1000.5
2021-06-10 15:01:52,435,565.5,1000.5
2021-06-10 15:01:54,447,581.1,1028.1
2021-06-10 15:01:56,447,581.1,1028.1
2021-06-10 15:01:58,447,581.1,1028.1
2021-06-10 15:02:01,442,574.6,1016.6
2021-06-10 15:02:03,442,574.6,1016.6
2021-06-10 15:02:05,442,574.6,1016.6
2021-06-10 15:02:07,434,564.2,998.2
2021-06-10 15:02:09,434,564.2,998.2
2021-06-10 15:02:12,443,575.9,1018.9
2021-06-10 15:02:14,443,575.9,1018.9
2021-06-10 15:02:16,443,575.9,1018.9
2021-06-10 15:02:18,439,570.7,1009.7
2021-06-10 15:02:20,439,570.7,1009.7
2021-06-10 15:02:23,439,570.7,1009.7
2021-06-10 15:02:25,443,575.9,1018.9
2021-06-10 15:02:27,443,575.9,1018.9
2021-06-10 15:02:29,443,575.9,1018.9
2021-06-10 15:02:32,431,560.3,991.3
2021-06-10 15:02:34,431,560.3,991.3
2021-06-10 15:02:36,440,572.0,1012.0
2021-06-10 15:02:38,440,572.0,1012.0
2021-06-10 15:02:41,440,572.0,1012.0
2021-06-10 15:02:43,430,559.0,989.0
